Date,Price,,,,
"Apr 03, 2000",43.612,,,,
"Apr 04, 2000",43.615,,,,
"Apr 05, 2000",43.61,,,,
"Apr 06, 2000",43.6,,,,
"Apr 07, 2000",43.62,,,,
"Apr 10, 2000",43.61,,,,
"Apr 11, 2000",43.615,,,,
"Apr 12, 2000",43.625,,,,
"Apr 13, 2000",43.64,,,,
"Apr 14, 2000",43.665,,,,
"Apr 17, 2000",43.66,,,,
"Apr 18, 2000",43.625,,,,
"Apr 19, 2000",43.65,,,,
"Apr 20, 2000",43.65,,,,
"Apr 21, 2000",43.625,,,,
"Apr 24, 2000",43.65,,,,
"Apr 25, 2000",43.65,,,,
"Apr 26, 2000",43.65,,,,
"Apr 27, 2000",43.625,,,,
"Apr 28, 2000",43.65,,,,
"Aug 01, 2000",45.1,,,,
"Aug 02, 2000",45.325,,,,
"Aug 03, 2000",45.3,,,,
"Aug 04, 2000",45.385,,,,
"Aug 07, 2000",45.555,,,,
"Aug 08, 2000",45.7,,,,
"Aug 09, 2000",45.615,,,,
"Aug 10, 2000",45.86,,,,
"Aug 11, 2000",45.8,,,,
"Aug 14, 2000",45.75,,,,
"Aug 15, 2000",45.71,,,,
"Aug 16, 2000",45.73,,,,
"Aug 17, 2000",45.9,,,,
"Aug 18, 2000",45.82,,,,
"Aug 21, 2000",45.64,,,,
"Aug 22, 2000",45.675,,,,
"Aug 23, 2000",45.81,,,,
"Aug 24, 2000",46.155,,,,
"Aug 25, 2000",45.88,,,,
"Aug 28, 2000",45.81,,,,
"Aug 29, 2000",45.8,,,,
"Aug 30, 2000",45.815,,,,
"Aug 31, 2000",45.805,,,,
"Dec 01, 2000",46.845,,,,
"Dec 04, 2000",46.82,,,,
"Dec 05, 2000",46.695,,,,
"Dec 06, 2000",46.77,,,,
"Dec 07, 2000",46.745,,,,
"Dec 08, 2000",46.725,,,,
"Dec 11, 2000",46.75,,,,
"Dec 12, 2000",46.73,,,,
"Dec 13, 2000",46.755,,,,
"Dec 14, 2000",46.755,,,,
"Dec 15, 2000",46.755,,,,
"Dec 18, 2000",46.74,,,,
